ID,study,ResearchAsisitant,Raven1,Raven2,Raven3,Raven4,Raven5,Raven6,Raven7,Raven8,Raven9,Raven10,Raven11,Raven12,Raven13,Raven14,Raven15,Raven16,Raven17,Raven18,Raven19,Raven20,Raven21,Raven22,Raven23,Raven24,Raven25,Raven26,Raven27,Raven28,Raven29,Raven30,Raven31,Raven32,Raven33,Raven34,Raven35,Raven36,sex,age,Raven_Total,Raven_percentile,Raven_probabilities,Raven_z_scores,Raven_IQ,Raven_IQ_cat,SAI_winsorised,SAI_winsorized_IQ,SAI_residuals,SAI_residuals_abs,Raven_IQ2,SAIQ_IQ_dif,raven_odd,raven_even,raven_even2
378,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,38,26,75,0.75,0.67448975,110.1173463,3,20,135,1.769179731,1.769179731,12125.82995,24.88265375,13,13,169
869,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,55,26,86,0.86,1.080319341,116.2047901,3,20,135,1.769179731,1.769179731,13503.55325,18.79520989,14,12,144
428,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,55,26,86,0.86,1.080319341,116.2047901,3,20,135,1.769179731,1.769179731,13503.55325,18.79520989,14,12,144
1053,data4, ,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,20,24,60,0.6,0.253347103,103.8002065,3,21,140,3.032079483,3.032079483,10774.48288,36.19979345,11,13,169
31,couples,couples_men,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,20,24,60,0.6,0.253347103,103.8002065,3,21,140,3.032079483,3.032079483,10774.48288,36.19979345,11,13,169
956,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,20,26,70,0.7,0.524400513,107.8660077,3,21,140,2.769179731,2.769179731,11635.07562,32.13399231,12,14,196
35,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,20,26,70,0.7,0.524400513,107.8660077,3,21,140,2.769179731,2.769179731,11635.07562,32.13399231,12,14,196
118,couples,couples_men,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,22,25,65,0.65,0.385320466,105.779807,3,21,140,2.900629607,2.900629607,11189.36757,34.220193,13,12,144
632,motivation,Oliwia,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,22,25,65,0.65,0.385320466,105.779807,3,21,140,2.900629607,2.900629607,11189.36757,34.220193,13,12,144
710,motivation,Oliwia,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,23,24,60,0.6,0.253347103,103.8002065,3,21,140,3.032079483,3.032079483,10774.48288,36.19979345,14,10,100
172,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,23,26,70,0.7,0.524400513,107.8660077,3,21,140,2.769179731,2.769179731,11635.07562,32.13399231,13,13,169
1098,data4, ,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,24,25,65,0.65,0.385320466,105.779807,3,21,140,2.900629607,2.900629607,11189.36757,34.220193,14,11,121
214,couples,couples_men,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,24,25,65,0.65,0.385320466,105.779807,3,21,140,2.900629607,2.900629607,11189.36757,34.220193,14,11,121
1033,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,26,65,0.65,0.385320466,105.779807,3,21,140,2.769179731,2.769179731,11189.36757,34.220193,13,13,169
253,couples,couples_men,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,25,26,65,0.65,0.385320466,105.779807,3,21,140,2.769179731,2.769179731,11189.36757,34.220193,13,13,169
